,Q1,Q2,Q3,Q4,Q5,LS
20210507,0.4930169737000936,0.8007765179756546,0.759801842308872,0.5485913187214739,1.4758384676261245,2.00065418008231
20210510,0.5287018691564555,0.8478177388717751,0.7992633309398071,0.5691200703305207,1.5421424488744462,1.945727520298944
20210511,0.5612366275380317,0.8956841859745069,0.834817708231756,0.5928262215784096,1.6198300408471054,1.9240119269316676
20210512,0.5976671096385068,0.9390849221489291,0.8655335961706047,0.6082954349689024,1.6978179236345694,1.8917551511890087
20210513,0.6283514399686791,0.979916145460582,0.8958521330894463,0.6238455765725576,1.7901124138643865,1.897469166759789
20210514,0.6490135735780559,0.9910962072357183,0.9097803306016895,0.6320682693875868,1.8497287749887785,1.8982662053747628
20210517,0.6749603354594061,1.0163141679150653,0.9252824831330275,0.6410888910822612,1.8569273504193127,1.8297633328538492
20210518,0.70709774183113,1.0395165719117982,0.9420339093322301,0.6476338673864382,1.8800485711186241,1.7654243942990424
20210519,0.7489528967649691,1.0789543417917333,0.9631749747736434,0.6592890755951184,1.9208037210375255,1.6991941922253593
20210520,0.803402377841969,1.132359990504411,0.9963287674600262,0.6818789605560799,2.0125429595090725,1.6568163774486047
20210521,0.862272214003303,1.1857618725568035,1.039397772408681,0.7133982252616178,2.1124795198736295,1.6176843666608807
20210524,0.9182914345089318,1.2384473672398373,1.0797727968239927,0.743018346867804,2.229535574961515,1.6022269216343428
20210525,0.9637988798312853,1.2805424499782159,1.1095708668445468,0.7656735562739251,2.306936290500031,1.5784489498942436
20210526,0.9986893612738686,1.3132111126762989,1.1376180773777875,0.787188984222172,2.4095350054597358,1.5915074817986123
20210527,1.0322970266300047,1.3455604613075312,1.1604042916272268,0.8080124977073084,2.513297337288254,1.606485871041653
20210528,1.063815249997463,1.3715639356056513,1.1761166902055273,0.8265562837262276,2.6040471372942324,1.615443215607688
20210531,1.0965097012411036,1.4008747058796973,1.189145331451438,0.8401520038864922,2.674909809305773,1.609755742365863
20210601,1.100618001283921,1.3973536512180513,1.1773897870825751,0.8380774518783967,2.6876888274504958,1.6114148493603464
20210602,1.1143575406937514,1.4016987119900777,1.1760385550749866,0.8331432708692444,2.716412801746993,1.6085203657765264
20210603,1.144018845721871,1.4264068247088286,1.1857448946688822,0.8423541927224129,2.7916413533539055,1.6102522197205857
